Name,Latitude,Longitude,Population,Gap_Score,Dist_Mokhtabar_m,Dist_Borg_m,Dist_Alfa_m,Dist_Hospital_m,Count_Mokhtabar_1km,Count_Borg_1km,Count_Alfa_1km,Count_Hospital_1km
Recommended Site #1,31.237,29.983,118379.1875,118679.19,1027.9,1094.9,1078.0,463.3,0,0,0,2
Recommended Site #2,31.227,29.963,66494.539063,66614.54,1015.6,918.6,2182.4,254.1,0,1,0,2
Recommended Site #3,31.237,29.97,62273.203125,62573.2,1467.0,1196.2,1451.8,702.2,0,0,0,3
Recommended Site #4,31.24,29.963,61442.976563,61562.98,1606.5,818.7,1751.8,196.8,0,1,0,7
Recommended Site #5,31.254,29.99,60884.929688,60924.93,983.3,497.2,1260.2,497.2,1,1,0,3
Recommended Site #6,31.227,29.977,59690.226563,59790.23,2158.2,1978.5,2259.4,1557.8,0,0,0,0
Recommended Site #7,31.171,29.883,59356.439453,59656.44,3702.4,1252.3,3993.2,154.6,0,0,0,1
Recommended Site #8,31.244,29.97,59376.371094,59646.37,1087.5,970.7,957.6,75.3,0,1,1,8
Recommended Site #9,31.251,29.997,59309.046875,59429.05,1283.9,391.7,1037.1,391.7,0,1,0,1
Recommended Site #10,31.265,29.996,58940.421875,59060.42,371.2,1202.8,1745.5,202.6,1,0,0,4
